date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:00	25828/25828	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2013:01:40%20GMT	https://bracketweb.com/trevlo-html/demo-landing.html	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/demo-landing.html	(from )
22:51:01	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jun%202024%2017:21:03%20GMT	https://bracketweb.com/robots.txt		(from )
22:51:04	34480/34480	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/favicons/apple-touch-icon.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/favicons/apple-touch-icon.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:05	2056/2056	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/favicons/favicon-32x32.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/favicons/favicon-32x32.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:06	754/754	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/favicons/favicon-16x16.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/favicons/favicon-16x16.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:06	263/263	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/favicons/site.webmanifest	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/favicons/site.webmanifest	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:09	87493/87493	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/vendors/animate/animate.min.css	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/vendors/animate/animate.min.css	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:09	232919/232919	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:13	59348/59348	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/vendors/fontawesome/css/all.min.css	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/vendors/fontawesome/css/all.min.css	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:14	43741/43741	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2013:01:38%20GMT	https://bracketweb.com/trevlo-html/assets/css/trevlo-landing.css	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/css/trevlo-landing.css	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:18	133253/133253	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2013:01:40%20GMT	https://bracketweb.com/trevlo-html/index.html	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/index.html	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:18	46916/46916	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/hero-bg-1-1.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/hero-bg-1-1.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:19	2677/2677	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/main-logo-1-1.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/main-logo-1-1.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:23	133331/133331	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/hero-img-1-3.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/hero-img-1-3.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:23	168001/168001	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/hero-img-1-2.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/hero-img-1-2.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:27	268715/268715	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/hero-img-1-1.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/hero-img-1-1.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:28	2247/2247	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/feature-2-1.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/feature-2-1.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:28	2269/2269	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/feature-2-2.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/feature-2-2.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:28	1031/1031	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/feature-2-3.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/feature-2-3.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:29	773/773	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/feature-2-4.png	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/feature-2-4.png	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:32	117920/117920	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2013:01:40%20GMT	https://bracketweb.com/trevlo-html/index-4.html	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/index-4.html	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:32	68078/68078	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/home-4.jpg	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/home-4.jpg	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:36	104732/104732	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2013:01:40%20GMT	https://bracketweb.com/trevlo-html/index-4-one-page.html	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/index-4-one-page.html	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:41	54987/54987	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/images/landing/home-5.jpg	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/assets/images/landing/home-5.jpg	(from https://bracketweb.com/trevlo-html/demo-landing.html)
22:51:44	196775/196775	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2013:01:40%20GMT	https://bracketweb.com/trevlo-html/index-5.html	C:/Users/pramu/OneDrive/Desktop/travel/new/bracketweb.com/trevlo-html/index-5.html	(from https://bracketweb.com/trevlo-html/demo-landing.html)
